time,m1,m2,m3,m4
1385512279.610808,41470,34806,45782,37942
1385512279.621965,43878,34558,44126,37438
1385512279.640365,43949,35688,43787,36576
1385512279.666368,42836,35427,44532,37205
1385512279.681616,44540,34670,42986,37804
1385512279.700664,44071,35720,43365,36844
1385512279.711477,44223,36103,44025,35649
1385512279.72653,44438,35788,44042,35732
1385512279.738381,42100,36468,46004,35428
1385512279.756855,41534,36425,46340,35701
1385512279.768538,42076,36109,45382,36433
1385512279.786956,41124,36225,46510,36141
1385512279.799636,43000,35364,45582,36054
1385512279.817879,43186,35473,45096,36245
1385512279.829596,41536,35667,46714,36083
1385512279.858237,42151,35187,45635,37027
1385512279.887492,44505,33952,44199,37344
1385512279.898445,43662,34487,45398,36453
1385512279.922414,43677,34510,44775,37038
1385512279.93357,42944,34718,44560,37778
1385512279.95385,42480,34092,45680,37748
1385512279.965678,44682,33182,44160,37976
1385512279.984764,44086,34377,44850,36687
1385512279.995445,42375,35166,46881,35578
1385512280.019623,41489,35339,47011,36161
1385512280.037949,41664,35020,46804,36512
1385512280.049724,43703,34648,44763,36886
1385512280.068931,44502,34441,44100,36957
1385512280.079779,45142,33696,44170,36992
1385512280.091553,44274,33391,45346,36989
1385512280.106544,43929,33793,45195,37083
1385512280.12183,44585,33108,44671,37636
1385512280.137639,43931,32519,45079,38471
1385512280.14873,43990,32860,45080,38070
1385512280.167735,44099,33185,44915,37801
1385512280.182588,42814,34007,45590,37589
1385512280.197561,42844,35055,45970,36131
1385512280.208369,44515,34419,44451,36615
1385512280.22746,44960,35084,44716,35240
1385512280.242662,44043,36243,45465,34249
1385512280.256697,44270,36492,45328,33910
1385512280.271691,43932,36167,45532,34369
1385512280.275003,44629,35876,45061,34434
1385512280.290584,43656,35438,45956,34950
